# time	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[%]	right center of pressure Y[%]
2.95	14.50	13.50	10.00	11.75	4.00	6.50	0.25	1.25	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	-0.086914	0.220215	1.059570	-3.920000	54.880001	-2.240000	654.00	-0.30	-0.07
2.96	13.00	12.50	9.75	11.50	4.25	6.00	0.25	1.50	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	-0.028809	0.107422	0.942871	-7.070000	52.360001	0.980000	625.00	-0.29	-0.08
2.97	11.75	11.50	9.50	10.75	4.50	6.25	0.25	1.75	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	-0.061523	0.113770	1.000977	-8.960000	55.720001	-1.190000	601.00	-0.29	-0.08
2.98	10.00	10.25	9.00	10.25	4.75	6.50	0.25	1.75	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	-0.024414	0.120117	1.040527	-12.180000	58.170002	-3.150000	566.00	-0.28	-0.08
2.99	8.75	9.00	8.50	9.50	4.75	6.25	0.25	2.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	-0.107910	0.020020	1.005371	-18.830000	63.279999	-7.000000	529.00	-0.27	-0.09
3.00	7.25	8.00	7.75	9.00	4.75	5.75	0.50	2.50	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	-0.140137	0.132812	1.216309	-25.969999	64.540001	-14.840000	496.00	-0.26	-0.09
3.01	5.75	7.00	7.50	8.25	4.75	5.75	0.50	3.00	0.00	0.00	0.00	0.25	0.50	0.50	0.00	0.00	-0.142578	0.169434	1.002441	-24.990000	57.189999	-17.430000	477.00	-0.23	-0.10
3.02	5.00	6.00	6.50	7.75	4.50	5.50	0.50	3.25	0.00	0.00	0.00	0.00	1.25	0.75	0.00	0.00	-0.145508	0.155273	1.022949	-22.540001	53.340000	-15.750000	448.00	-0.22	-0.11
3.03	3.75	5.00	5.75	7.00	4.50	5.25	0.75	3.50	0.00	0.25	0.00	0.25	1.50	1.00	0.00	0.00	-0.108398	0.133789	1.017578	-13.300000	39.830002	-13.860000	424.00	-0.19	-0.12
3.04	3.25	4.25	5.25	6.00	4.25	5.00	0.75	5.00	0.00	0.50	0.00	0.50	2.50	1.00	0.00	0.25	-0.188477	0.168457	1.028320	-4.970000	18.900000	-13.930000	428.00	-0.16	-0.14
3.05	2.25	3.50	5.00	5.50	4.25	4.50	1.00	5.25	0.25	0.50	0.00	0.50	3.75	1.75	0.00	0.50	-0.196777	0.174805	0.976562	-2.940000	3.010000	-11.620000	426.00	-0.12	-0.15
3.06	2.00	2.75	3.75	4.75	4.00	4.00	1.00	5.50	0.25	0.75	0.00	1.25	4.50	2.25	0.00	0.75	-0.178223	0.093262	0.995605	-2.520000	-2.310000	-8.680000	413.00	-0.09	-0.16
3.07	1.50	1.75	3.25	3.75	3.75	3.25	1.00	6.00	0.75	0.75	0.25	1.25	5.25	3.25	0.50	1.25	-0.184082	0.129395	0.973633	-2.450000	-2.380000	-6.790000	411.00	-0.03	-0.16
3.08	1.25	1.75	3.00	2.75	3.75	3.00	1.25	6.25	1.25	1.25	0.75	1.75	5.75	4.75	0.75	1.50	-0.167480	0.130371	0.972168	-2.100000	-2.100000	-7.000000	443.00	0.01	-0.15
3.09	1.00	0.75	2.25	2.50	3.50	2.50	1.25	6.50	1.75	1.75	1.00	2.25	7.50	6.50	1.50	2.00	-0.154297	0.120605	0.981445	-2.310000	-1.190000	-9.170000	476.00	0.07	-0.14
3.10	1.00	1.00	2.00	2.00	3.25	2.25	1.00	6.75	2.00	2.25	1.50	3.25	8.00	8.00	2.00	2.75	-0.187500	0.127441	0.983887	-1.610000	1.470000	-11.410000	515.00	0.09	-0.14
3.11	0.75	0.75	1.75	1.50	2.50	1.25	1.00	6.50	2.75	3.00	2.50	3.75	8.50	9.50	3.00	3.25	-0.170410	0.153809	1.003418	0.560000	5.250000	-13.930000	542.00	0.14	-0.13
3.12	0.50	0.50	1.50	1.25	2.25	0.75	1.00	6.50	3.50	3.75	3.25	5.00	9.00	11.75	3.50	4.00	-0.181641	0.162109	0.992676	3.430000	13.930000	-17.150000	595.00	0.17	-0.12
3.13	0.25	0.75	0.75	1.00	1.50	0.75	0.75	6.00	4.50	4.50	4.00	5.75	9.00	13.50	5.50	5.25	-0.184570	0.151855	1.016602	5.530000	24.780001	-22.960001	644.00	0.20	-0.11
3.14	0.25	0.00	0.75	1.00	0.75	0.00	0.50	5.25	6.00	6.50	5.75	6.75	9.25	15.75	7.00	6.00	-0.190430	0.136719	1.024414	7.700000	35.349998	-29.889999	716.00	0.23	-0.09
3.15	0.00	0.00	0.50	0.50	0.25	0.00	0.25	5.00	6.75	7.75	7.50	7.75	9.25	17.50	8.00	6.75	-0.238770	0.085938	1.042480	28.070000	76.300003	-33.810001	773.00	0.25	-0.08
3.16	0.00	0.00	0.50	1.00	0.25	0.00	0.00	3.75	7.75	8.25	8.00	8.00	9.00	19.50	9.00	7.25	-0.255371	0.139648	1.159668	44.099998	133.070007	-31.570000	810.00	0.26	-0.06
3.17	0.00	0.00	0.50	0.00	0.00	0.00	0.00	2.75	8.50	8.75	8.50	8.25	8.75	21.00	10.00	7.75	-0.298340	0.154785	1.266602	47.459999	211.119995	-28.980000	828.00	0.28	-0.05
3.18	0.00	0.00	0.25	0.25	0.00	0.00	0.00	2.00	8.75	9.25	8.75	8.00	8.25	22.50	10.75	8.50	-0.361816	0.173828	1.395020	53.549999	250.320007	-40.950001	845.00	0.29	-0.04
3.19	0.00	0.00	0.25	0.00	0.00	0.00	0.00	1.75	9.25	9.75	8.75	7.75	7.50	23.50	11.25	9.00	-0.336914	0.091797	1.733887	8.680000	307.929993	-37.869999	858.00	0.29	-0.03
3.20	0.00	0.00	0.25	0.00	0.00	0.00	0.00	1.25	9.75	10.00	8.50	7.00	6.75	24.50	11.75	9.75	-0.388184	0.271484	1.321777	-28.490000	346.290009	-38.709999	860.00	0.30	-0.02
3.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	10.00	10.25	8.25	6.00	5.75	25.25	12.00	10.25	-0.429688	0.190918	1.315918	-34.860001	367.360016	-49.349998	849.00	0.31	-0.01
3.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	9.75	10.50	8.00	5.50	5.00	25.75	12.00	10.75	-0.484863	0.074219	1.332520	-44.939999	396.760010	-55.369999	837.00	0.31	0.00
3.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	9.50	11.00	8.00	4.75	4.00	25.50	12.00	11.00	-0.501465	0.070801	1.343262	-46.340000	437.220001	-55.160000	814.00	0.32	0.01
3.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	11.25	8.00	4.25	2.75	24.75	11.75	11.00	-0.586426	0.333984	1.321777	-54.180000	492.799988	-58.450001	781.00	0.32	0.02
3.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.75	10.75	7.50	3.75	2.50	23.50	11.25	10.50	-0.807129	0.404297	1.646973	-56.209999	554.400024	-70.000000	728.00	0.32	0.02
3.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.25	9.75	6.25	2.75	1.75	21.50	10.25	9.50	-1.303711	0.437500	2.042969	-34.790001	611.799988	-79.519997	635.00	0.33	0.02
3.27	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	5.25	8.25	4.25	2.50	1.00	18.50	8.75	8.25	-1.747559	0.579590	2.735840	6.440000	647.220032	-78.750000	532.00	0.33	0.03
3.28	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	4.00	6.00	2.25	1.50	0.50	14.50	6.75	6.25	-2.703125	1.051758	3.837402	84.629997	658.489990	-54.459999	391.00	0.33	0.04
3.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.50	4.25	1.25	1.50	0.25	9.75	5.00	4.00	-2.456543	1.241211	4.368652	212.520004	666.960022	-19.600000	265.00	0.34	0.03
3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.75	1.00	1.00	0.25	7.00	3.50	1.75	-2.194824	0.132812	4.814453	322.350006	647.080017	-30.309999	184.00	0.33	0.04
3.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	1.50	0.50	0.50	0.25	3.75	1.25	0.50	-1.128418	0.489746	5.719727	335.369995	606.549988	-65.309998	92.00	0.33	0.07
3.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.50	0.00	0.00	0.00	1.50	0.00	0.00	0.440430	0.284180	5.218262	309.890015	545.020020	-125.860001	25.00	0.00	0.00
3.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.75	0.00	0.00	1.501953	0.328125	4.940918	214.059998	456.890015	-198.869995	12.00	0.00	0.00
3.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.25	0.00	0.00	2.276855	2.133789	5.869629	12.600000	41.790001	11.410000	7.00	0.00	0.00
3.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.25	0.00	0.00	1.291504	1.514160	4.007324	-65.519997	-175.699997	129.710007	7.00	0.00	0.00
3.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.50	0.00	0.00	0.903809	0.948730	2.297852	-101.150002	-236.389999	172.339996	9.00	0.00	0.00
3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	1.146484	0.736816	1.833984	-78.400002	-217.910004	154.000000	5.00	0.00	0.00
3.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	1.343750	0.524902	2.327148	-22.120001	-219.240005	111.650002	3.00	0.00	0.00
3.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	1.314453	-0.011719	2.804199	11.900000	-275.170013	68.669998	5.00	0.00	0.00
3.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	1.058105	-0.435547	2.770508	-10.850000	-356.440002	28.210001	5.00	0.00	0.00
3.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.601074	-0.413574	2.604980	-69.300003	-433.790009	-4.130000	5.00	0.00	0.00
3.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.210449	-0.289551	2.345215	-118.650002	-502.040009	-30.799999	5.00	0.00	0.00
3.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	-0.152832	-0.176270	2.102051	-128.100006	-553.559998	-56.420002	5.00	0.00	0.00
3.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	-0.414062	-0.102539	2.082031	-101.779999	-590.380005	-79.309998	5.00	0.00	0.00
3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	-0.636230	-0.144531	2.040527	-67.269997	-616.840027	-96.809998	3.00	0.00	0.00
3.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	-0.806641	-0.114258	1.933105	-46.619999	-634.059998	-106.260002	3.00	0.00	0.00
3.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	-0.907227	0.096191	1.821289	-36.959999	-641.409973	-103.110001	3.00	0.00	0.00
3.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	-0.937988	0.410156	1.574707	-29.820000	-631.119995	-87.430000	3.00	0.00	0.00
3.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.894043	0.788086	1.637695	-12.040000	-605.220032	-62.860001	0.00	0.00	0.00
3.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-0.917969	1.024414	1.854004	29.540001	-580.580017	-34.580002	0.00	0.00	0.00
3.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.125000	1.098145	2.167480	85.680000	-564.900024	-3.990000	0.00	0.00	0.00
3.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.756348	1.343262	2.979980	134.190002	-539.909973	85.190002	0.00	0.00	0.00
3.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.756348	1.343262	2.979980	134.190002	-539.909973	85.190002	0.00	0.00	0.00
3.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2.181641	1.491211	3.059082	122.500000	-533.260010	143.289993	0.00	0.00	0.00
3.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-3.566406	0.566406	3.389160	201.949997	-486.429993	215.320007	0.00	0.00	0.00
3.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-4.187012	0.170898	3.390137	203.210007	-451.850006	219.240005	0.00	0.00	0.00
3.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-4.375000	0.001465	3.091797	144.899994	-422.239990	213.009995	0.00	0.00	0.00
3.58	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-4.350098	0.308105	2.262207	86.870003	-396.410004	206.360001	5.00	0.00	0.00
3.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	-5.065918	-0.023438	1.617676	107.590004	-341.880005	208.039993	3.00	0.00	0.00
3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	-6.428711	-0.708008	1.267578	118.930000	-273.630005	173.460007	3.00	0.00	0.00
3.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-6.787598	-0.664062	0.148926	49.770000	-204.889999	110.040001	0.00	0.00	0.00
3.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-6.949707	0.046387	-0.169434	9.170000	-130.059998	28.490000	0.00	0.00	0.00
3.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-6.897949	0.084473	-0.325684	48.509998	-54.459999	-40.670002	0.00	0.00	0.00
3.64	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-6.613281	-0.479980	-0.161133	75.739998	21.139999	-63.349998	3.00	0.00	0.00
3.65	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-7.023926	-2.687500	-1.682129	5.180000	89.250000	-25.690001	2.00	0.00	0.00
3.66	1.50	4.00	1.00	1.25	0.00	0.00	0.00	0.00	0.25	0.25	0.00	0.25	0.00	0.00	0.00	0.00	-2.052246	0.509766	1.474121	-151.130005	238.839996	32.060001	86.00	-0.31	-0.07
3.67	8.00	11.75	2.50	5.25	0.00	0.00	0.00	0.00	0.00	0.50	0.25	0.25	0.00	0.00	0.00	0.00	2.503418	0.094238	2.984375	-60.200001	249.199997	94.010002	287.00	-0.35	-0.07
3.68	17.25	17.50	5.00	7.75	0.00	0.00	0.00	0.00	0.50	0.50	0.25	0.25	0.00	0.00	0.00	0.00	2.050781	-1.481934	1.002930	-82.669998	221.619995	84.000000	497.00	-0.35	-0.04
3.69	22.25	19.50	8.00	9.50	0.25	0.00	0.00	0.00	0.25	0.25	0.25	0.25	0.00	0.25	0.00	0.00	-2.176270	-1.141602	2.004883	-116.129997	363.089996	32.830002	619.00	-0.35	-0.03
3.70	24.25	20.50	9.75	11.25	0.75	0.00	0.00	0.00	0.50	0.50	0.25	0.50	0.00	0.25	0.00	0.00	-1.549805	-0.234863	5.207031	-107.309998	408.029999	4.900000	702.00	-0.34	-0.03
3.71	24.75	20.75	11.00	12.25	1.25	0.75	0.00	0.00	0.50	0.00	0.00	0.25	0.00	0.25	0.00	0.00	-0.451660	-0.225098	3.097656	-75.809998	289.730011	-8.540000	737.00	-0.34	-0.03
3.72	23.75	19.75	11.50	12.50	1.75	1.75	0.00	0.00	0.25	0.25	0.00	0.50	0.00	0.50	0.00	0.00	-0.066406	0.079590	1.489258	-25.760000	237.369995	-9.100000	747.00	-0.33	-0.04
3.73	22.50	18.75	12.00	13.00	2.00	3.25	0.25	0.00	0.25	0.25	0.00	0.25	0.00	0.50	0.00	0.00	-0.218750	0.005371	1.939453	14.700000	214.130005	-5.110000	756.00	-0.33	-0.04
3.74	21.50	18.25	11.75	13.50	2.25	4.00	0.25	0.25	0.50	0.00	0.00	0.00	0.00	0.50	0.00	0.00	-0.130371	0.244141	1.490723	34.790001	131.740005	-17.150000	756.00	-0.32	-0.04
3.75	20.25	17.50	11.75	13.25	2.75	4.50	0.25	0.50	0.25	0.00	0.00	0.25	0.00	0.50	0.00	0.00	-0.090820	0.385254	1.118652	24.990000	106.820000	-13.020000	748.00	-0.32	-0.05
3.76	19.00	16.75	11.50	13.25	4.00	5.00	0.25	0.50	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	-0.060059	0.336914	1.036621	7.490000	99.050003	-3.920000	736.00	-0.32	-0.05
3.77	18.25	16.00	11.25	13.00	4.00	5.75	0.25	1.00	0.00	0.00	0.00	0.00	0.25	0.25	0.00	0.00	-0.084961	0.227051	1.134766	-11.760000	93.309998	2.170000	734.00	-0.31	-0.06
3.78	17.25	15.00	11.00	12.50	4.25	5.75	0.25	0.75	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	-0.123047	0.196289	1.124023	-26.530001	83.230003	4.690000	703.00	-0.31	-0.06
3.79	15.50	14.00	10.50	11.75	4.50	5.75	0.25	1.00	0.00	0.00	0.00	0.00	0.25	0.25	0.00	0.00	-0.113770	0.177246	1.145996	-32.900002	72.800003	8.610000	671.00	-0.30	-0.06
3.80	14.00	13.00	10.25	11.50	4.75	5.50	0.25	1.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	-0.075684	0.084961	1.033203	-34.230000	63.349998	11.200000	640.00	-0.29	-0.06
3.81	12.50	11.50	9.50	10.75	4.75	5.50	0.25	1.00	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	-0.046875	-0.004395	1.020020	-30.030001	60.480000	9.170000	597.00	-0.29	-0.06
3.82	10.50	10.50	9.25	10.00	4.50	5.25	0.25	1.25	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	-0.025391	0.003906	0.977051	-22.820000	61.250000	2.940000	552.00	-0.28	-0.07
3.83	8.75	9.00	8.25	9.00	4.50	4.75	0.25	1.50	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	-0.109863	0.033203	0.975098	-16.100000	66.570000	-2.660000	494.00	-0.28	-0.07
3.84	7.00	7.75	7.50	8.50	4.50	4.50	0.50	1.25	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	-0.045898	0.039062	1.039551	-12.110000	75.320000	-7.630000	452.00	-0.26	-0.07
3.85	5.75	6.75	6.25	7.75	4.00	4.00	0.50	1.75	0.00	0.00	0.00	0.00	0.50	0.75	0.00	0.00	-0.131348	0.096680	1.056641	-10.220000	75.459999	-11.690000	409.00	-0.25	-0.09
3.86	4.25	5.75	5.75	7.00	4.00	3.50	0.75	2.00	0.00	0.00	0.00	0.00	0.75	1.00	0.00	0.00	-0.189941	0.159668	1.062988	-5.460000	69.580002	-12.390000	377.00	-0.23	-0.09
3.87	3.50	5.00	5.25	6.25	4.00	3.00	0.75	2.50	0.00	0.25	0.00	0.00	1.25	1.25	0.00	0.00	-0.215332	0.161621	1.062500	1.400000	45.849998	-9.100000	359.00	-0.20	-0.10
3.88	3.50	3.75	4.00	5.50	3.75	3.00	0.75	2.75	0.25	0.50	0.00	0.00	2.25	2.00	0.25	0.25	-0.252930	0.118652	1.003418	0.420000	19.040001	-4.410000	352.00	-0.15	-0.10
3.89	2.00	3.00	4.00	5.00	3.50	2.25	0.75	3.25	0.75	0.50	0.00	0.50	3.50	3.00	0.25	0.75	-0.243652	0.093262	1.004883	-0.840000	6.300000	-2.940000	354.00	-0.09	-0.12
3.90	1.50	2.50	3.00	4.00	3.50	2.00	1.00	3.25	1.50	0.50	0.25	1.25	3.75	4.25	0.50	1.00	-0.208496	0.128906	0.973633	-1.680000	2.450000	-2.870000	361.00	-0.03	-0.10
3.91	1.25	2.50	2.75	3.50	3.25	1.75	1.00	3.75	1.75	1.00	0.50	1.50	4.50	6.00	1.00	1.25	-0.172852	0.119141	0.979980	-3.290000	3.290000	-3.850000	394.00	0.02	-0.10
3.92	0.50	1.25	2.00	2.50	3.25	1.50	1.00	4.25	2.25	1.50	0.50	1.75	5.25	7.75	1.50	1.75	-0.199219	0.119141	0.983398	-4.550000	6.790000	-9.450000	404.00	0.08	-0.10
3.93	0.75	1.25	2.00	2.25	3.00	1.00	1.00	4.50	2.75	2.00	1.50	2.50	6.25	9.50	1.75	2.25	-0.199219	0.119141	0.983398	-4.550000	6.790000	-9.450000	458.00	0.11	-0.09
3.94	0.75	0.50	1.50	1.25	2.50	0.50	1.00	4.50	3.75	3.00	2.00	3.00	7.25	11.50	2.25	2.75	-0.196289	0.121094	0.983398	-3.780000	8.820000	-11.760000	492.00	0.16	-0.08
3.95	0.75	0.75	1.25	1.75	2.00	0.25	1.00	4.25	5.00	3.75	2.75	4.00	7.75	13.50	3.25	3.00	-0.196777	0.109863	0.986816	-0.280000	18.340000	-17.010000	560.00	0.18	-0.07
3.96	0.25	0.75	1.00	1.00	1.50	0.00	1.00	4.25	6.00	6.00	3.75	4.25	8.00	15.75	5.50	5.00	-0.203125	0.134277	1.012695	3.570000	26.250000	-21.070000	641.00	0.22	-0.06
3.97	0.25	0.00	0.75	0.50	1.00	0.00	0.75	3.75	7.50	7.50	4.50	5.75	8.25	17.75	6.75	5.50	-0.203125	0.119141	1.056641	9.100000	39.480000	-22.889999	703.00	0.25	-0.05
3.98	0.25	0.00	0.50	0.75	0.50	0.00	0.50	3.25	8.00	8.25	7.00	6.50	8.50	19.50	7.50	6.00	-0.270020	0.211426	0.965820	18.760000	60.760002	-24.080000	763.00	0.26	-0.04
3.99	0.25	0.00	0.50	0.50	0.25	0.00	0.00	2.50	8.75	8.75	8.00	7.25	8.50	21.25	8.75	7.00	-0.237305	0.186035	1.290527	31.920000	92.050003	-28.000000	805.00	0.27	-0.04
4.00	0.25	0.25	1.00	0.00	0.00	0.00	0.00	2.00	9.50	9.25	8.25	7.75	8.25	22.50	9.50	7.50	-0.301270	0.190430	1.254883	41.790001	158.899994	-30.730000	839.00	0.28	-0.03
4.01	0.00	0.00	0.25	0.25	0.00	0.00	0.00	1.75	10.00	9.75	8.50	7.50	7.75	24.00	10.25	8.25	-0.317383	0.145508	1.415039	36.889999	240.589996	-32.619999	857.00	0.29	-0.02
4.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	10.25	10.25	8.75	7.25	7.50	25.00	11.00	8.75	-0.220215	0.251465	1.418457	22.049999	294.140015	-34.860001	869.00	0.30	-0.02
4.03	0.00	0.25	0.25	0.25	0.00	0.00	0.00	1.00	10.75	10.25	8.50	6.50	6.25	25.50	11.50	9.00	-0.385254	0.120117	1.428223	-3.360000	334.529999	-37.240002	869.00	0.30	-0.00
4.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	10.50	10.50	8.50	6.00	5.50	26.25	12.00	9.50	-0.382812	0.068359	1.389648	-16.100000	361.760010	-38.570000	859.00	0.31	0.00
4.05	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.50	10.25	10.75	8.25	5.25	4.25	26.25	11.75	9.75	-0.437988	0.047852	1.421387	-19.950001	390.459991	-37.450001	835.00	0.31	0.01
4.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	9.50	11.00	8.00	5.00	3.25	25.75	11.75	10.00	-0.474121	0.084473	1.428223	-19.879999	430.570007	-34.650002	804.00	0.32	0.02
4.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.75	11.00	8.00	4.25	2.75	24.75	11.75	10.00	-0.479492	0.222656	1.281738	-20.090000	482.720001	-38.360001	770.00	0.32	0.02
4.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.50	10.75	7.75	4.00	2.00	23.00	11.00	9.50	-0.708496	0.403809	1.433594	-16.240000	545.859985	-52.430000	714.00	0.32	0.02
4.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	9.75	6.50	3.25	1.50	20.50	9.50	8.50	-1.206543	0.513672	2.227539	1.190000	608.720032	-66.360001	616.00	0.32	0.02
4.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.75	8.00	4.00	2.50	0.75	17.00	8.25	6.75	-1.983398	0.661133	3.195312	34.230000	661.919983	-68.529999	488.00	0.33	0.03
4.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.50	5.75	1.75	1.75	0.25	12.50	6.00	4.50	-2.814941	0.670898	4.333008	94.779999	689.080017	-44.939999	339.00	0.33	0.04
4.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.25	3.75	1.00	1.00	0.50	8.50	4.00	2.00	-2.982422	0.708008	4.677734	168.770004	693.349976	-10.850000	219.00	0.33	0.05
4.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	2.25	0.50	0.50	0.50	6.00	2.25	0.75	-2.148438	0.018555	5.298340	229.250000	668.359985	-17.430000	137.00	0.34	0.06
4.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.50	0.00	0.00	0.00	1.75	0.25	0.25	-1.279785	0.313477	5.396973	206.500000	631.330017	-56.980000	48.00	0.00	0.00
